Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Providence Steamrollers,NBA,1946-47,1948-49,3,168,46,122,0.274,0,0.0,0,0
San Diego Sails,NBA,1972-73,1975-76,4,263,101,162,0.384,2,0.0,0,0
San Diego Sails,NBA,1975-76,1975-76,1,11,3,8,0.273,0,,0,0
San Diego Conquistadors,NBA,1972-73,1974-75,3,252,98,154,0.389,2,0.0,0,0
Sheboygan Red Skins,NBA,1949-50,1949-50,1,62,22,40,0.355,1,0.0,0,0
Spirits of St. Louis,NBA,1967-68,1975-76,9,744,334,410,0.449,5,1.0,0,0
Spirits of St. Louis,NBA,1974-75,1975-76,2,168,67,101,0.399,1,0.0,0,0
Carolina Cougars,NBA,1969-70,1973-74,5,420,215,205,0.512,3,1.0,0,0
Houston Mavericks,NBA,1967-68,1968-69,2,156,52,104,0.333,1,0.0,0,0
St. Louis Bombers,NBA,1946-47,1949-50,4,237,122,115,0.515,3,1.0,0,0
The Floridians,NBA,1967-68,1971-72,5,408,189,219,0.463,4,0.0,0,0
The Floridians,NBA,1970-71,1971-72,2,168,73,95,0.435,2,0.0,0,0
Miami Floridians,NBA,1968-69,1969-70,2,162,66,96,0.407,1,0.0,0,0
Minnesota Muskies,NBA,1967-68,1967-68,1,78,50,28,0.641,1,0.0,0,0
Toronto Huskies,NBA,1946-47,1946-47,1,60,22,38,0.367,0,0.0,0,0
Utah Stars,NBA,1967-68,1975-76,9,676,366,310,0.541,6,3.0,0,1
Utah Stars,NBA,1970-71,1975-76,6,436,265,171,0.608,5,3.0,0,1
Los Angeles Stars,NBA,1968-69,1969-70,2,162,76,86,0.469,1,0.0,0,0
Anaheim Amigos,NBA,1967-68,1967-68,1,78,25,53,0.321,0,0.0,0,0
Virginia Squires,NBA,1967-68,1975-76,9,743,326,417,0.439,6,2.0,0,1
Virginia Squires,NBA,1970-71,1975-76,6,503,200,303,0.398,4,1.0,0,0
Washington Capitols,NBA,1969-70,1969-70,1,84,44,40,0.524,1,0.0,0,0
Oakland Oaks,NBA,1967-68,1968-69,2,156,82,74,0.526,1,1.0,0,1
Washington Capitols,NBA,1946-47,1950-51,5,271,157,114,0.579,4,2.0,0,0
Waterloo Hawks,NBA,1949-50,1949-50,1,62,19,43,0.306,0,0.0,0,0
